Years,January,April,August,November,December
1976,82,81,66,-,84
1977,85,82,76,-,85
1978,87,84,83,-,87
1979,88,85,80,-,90
1980,88,87,74,-,85
1981,85,84,80,-,85
1982,87,83,74,-,84
1983,86,87,77,-,86
1984,88,85,78,-,87
1985,86,85,76,-,87
1986,87,79,76,-,83
1987,87,80,74,-,87
1988,85,80,77,-,82
1989,84,84,79,-,81
1990,85,87,76,-,85
1991,84,80,74,-,83
1992,86,83,76,-,84
1993,85,84,78,-,82
1994,88,82,78,-,85
1995,88,84,80,-,87
1996,88,84,77,-,84
1997,85,83,78,-,82
1998,85,84,78,-,85
1999,86,91,74,-,83
2000,85,86,72,87,83
2001,86,83,71,84,83
2002,87,83,73,-,84
2003,84,79,69,84,72.5
2004,79,79,74,81,85
2005,86,83,78,81,89
2006,87,87,74,72,83
2007,81,86,78,82,86
2008,83,79,69,71,81
2009,80,77,68,75,80
2010,84,85,78,81,85
2011,84.3,84,71,83,83
2012,83,80,71,80,85
2013,85,82,75,81,85
2014,86,83,73,82,87
2015,84,84,72,77,84
2016,80,80,56,86,84
2017,87,84,73,85,82
2018,85,79,71,79,81
