Years,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
1976,323,87,384,49,1,1,5,2,4,118,107,92
1977,225,211,303,56,37,152,0,0,4,0,153,162
1978,286.1,217.5,261,124,181,336,218,84,67,94,45,235
1979,263,101.8,245.4,143,245,67,5,1,34,36.3,70,410.6
1980,459.6,384.6,138.7,238.8,52.1,7.2,0,105.2,1.8,84.6,364.9,215.6
1981,264.2,428.1,350.8,206.8,71.3,183.1,76.8,33.5,56.6,75.7,434.6,219.4
1982,451,302.5,172.3,186.8,0,0,4,0,0,0,24.8,257.9
1983,274.5,368.5,152.9,114.5,305.2,39.6,0,0,1.4,193.7,323.6,221.4
1984,441,463.2,269.7,294.4,97.5,51.6,7.3,25.9,175.7,104.2,115.2,529.4
1985,328.4,360.8,481.1,139.7,151.4,121.6,9.3,40.9,2.5,73.7,221.1,204.1
1986,486.6,418,465.4,275.7,13.6,6.9,144.7,6.21,141.2,58.6,317.1,271.6
1987,656.9,380.3,183.9,58.9,56.1,2.3,6.9,0.05,0,1.7,110.5,628.3
1988,282.3,448.9,328.7,79.3,228.9,68.6,7.1,0.6,281.4,0,210.6,205.2
1989,210.9,301.8,225.2,67.21,69.1,196.8,245,54,1.1,150.1,19.44,141.5
1990,428.6,214.9,292.8,116,23,11.6,16,16.5,0,39.9,35.7,423.4
1991,528.4,540.4,129.7,253,16.2,1.1,0,0,0,0,133,274.6
1992,397.8,460.4,350.7,204.3,133.4,14.3,27.7,156.2,120.9,215.6,221.7,174.6
1993,341.1,112.2,219.2,229.5,55.7,43.2,5.3,0,0,1.4,188.9,233.8
1994,271.9,392.5,854.5,29.2,142.5,0,0,0,0,36.2,96.9,280.2
1995,611.8,611,329,231,30.4,156.1,23.5,0,1.7,63.3,570.8,363.7
1996,305.1,248,156.1,94.9,21.3,0.6,1.2,16.3,0,158,276,467.6
1997,342.2,187.7,65.6,196.5,47.2,0,0,0,0,0,19.1,237.8
1998,228.3,546,338.9,355.9,59.8,234.2,131,23.2,27.5,284.5,294.7,206.8
1999,375,312.9,471.5,275.6,88,29,49.9,0.6,48,101.6,357.3,316.4
2000,329.9,440.1,291.2,271,71.4,99.8,0,10.4,7,124.8,240,182.5
2001,492.7,271.4,465.9,335.2,46.2,82.8,30,0,2.3,212.3,209.2,161
2002,530.41,456.2,165.6,119.9,97.1,0,10,0,0,1.5,262.3,235.8
2003,173.6,465.1,232.5,43.7,129.9,14.4,0,0,0,28.5,248,300.7
2004,333.5,159,267.6,19.4,24.3,6.1,12.7,7,1.4,12.6,329.2,423.5
2005,346.1,483.9,151.6,254.2,1,105.9,123,12.2,5.1,128.4,86.8,480.7
2006,390.6,309.1,336.6,231.6,196,0.1,0.3,0,0,1.4,41.5,328.7
2007,99.9,335,283.9,325.6,40.1,39.2,3.3,3.3,0,52.8,0,184.6
2008,174.1,346.2,241.6,263.6,105.7,9.2,0,0,2.2,190.5,305.7,232
2009,316.5,311.7,249.4,191.2,122.3,41.6,0.001,0.001,0,70.3,120.9,184.9
2010,254.3,311.6,413.6,131.2,319.3,113.1,34.5,155.2,400.5,157.2,240,512.3
2011,400.7,322.7,334.7,264.6,177.3,0.001,0.001,0,0.5,19,371.3,388.5
2012,377.3,279.5,298,155.6,69.4,5.2,0.001,0,0,87.6,430.5,453.7
2013,412.4,517.6,195.5,244.4,245.8,226.4,78.1,0.6,0.9,43.3,407.8,329.5
2014,414.5,336.9,135.3,283.3,18.7,46.4,36.7,1.5,0,0.001,316.4,319.3
2015,347.3,417.7,457.9,432.4,178.1,56.8,0,0,0,0,96.8,416.1
2016,245.1,464.1,426.2,78.5,59.2,193.2,99.6,45.8,144.1,197.9,531.7,337.7
2017,409.8,258.8,318.6,155.9,52.9,10.2,3.5,0,16.4,46.3,383,331.1
2018,620.7,197.4,153.2,73.2,22.7,2.1,0,0,67.5,0,302,139.8
