Years,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
1976,25.5,25.7,25.6,26.2,25.8,24.8,24.1,26.9,25.8,26.4,26.0,26.4
1977,26.1,25.8,26.0,26.7,26.7,26.3,24.0,24.6,25.3,27.1,27.4,26.4
1978,26.1,26.5,26.3,26.6,26.1,25.6,24.9,25.5,25.5,26.6,26.5,26.3
1979,25.9,26.4,26.4,26.9,26.3,25.2,24.8,25.3,26.5,27.1,27.7,26.2
1980,25.9,26.0,26.1,26.5,26.8,26.1,26.5,26.2,26.2,28.2,26.6,26.5
1981,26.0,26.2,26.7,26.9,26.4,26.3,25.6,26.0,26.6,26.9,26.1,26.2
1982,25.1,25.1,26.0,26.4,26.0,25.0,24.8,24.5,25.1,26.9,28.0,27.1
1983,26.87,26.58,27.33,27.49,27.19,27.2,25.0,25.3,26.1,27.0,26.2,26.2
1984,25.53,26.73,25.87,26.86,26.82,25.53,25.63,25.94,25.83,26.86,27.12,25.65
1985,26.15,26.52,26.03,26.62,26.69,25.95,25.48,25.7,26.27,27.38,26.77,26.19
1986,25.8,25.7,26.0,26.2,26.8,26.0,25.5,25.1,27.1,26.5,26.3,27.2
1987,26.0,26.2,27.2,27.6,27.4,26.5,26.1,25.2,26.43,27.5,28.6,26.1
1988,26.4,26.5,26.9,27.4,27.4,26.4,25.0,26.0,26.7,27.1,26.4,26.0
1989,26.6,25.5,25.8,26.4,26.9,25.8,25.9,25.3,26.7,26.7,26.7,27.2
1990,26.03,26.51,26.56,27.49,27.19,26.74,25.82,26.43,26.88,27.8,27.83,26.32
1991,26.15,26.28,27.15,26.57,26.57,26.74,25.82,26.2,26.2,27.4,26.8,26.8
1992,26.15,27.22,27.12,27.89,27.83,26.76,25.7,25.7,26.1,26.4,26.3,26.1
1993,26.27,26.45,26.33,26.33,27.24,26.93,26.5,26.32,26.7,27.6,27.6,26.7
1994,26.12,26.17,25.99,26.78,25.67,25.01,26.15,24.04,25.81,26.99,28.29,26.78
1995,26.08,25.88,26.5,27.06,27.13,26.69,25.99,25.17,26.69,27.85,26.69,26.18
1996,25.17,26.01,26.82,27.04,26.93,27.43,26.53,26.47,26.81,27.37,26.73,26.25
1997,26.23,26.28,26.34,26.94,26.9,26.62,24.83,24.9,25.9,27.1,26.75,26.44
1998,27.43,27.22,27.12,27.89,27.89,27.83,27.02,27.1,27.24,27.47,26.33,26.34
1999,26.09,26.07,26.31,24.84,26.72,26.02,25.06,25.72,26.76,27.28,26.32,26.51
2000,26.09,27.16,25.36,26.4,26.96,25.57,25.86,25.74,27.31,26.92,26.22,26.4
2001,26.19,26.03,26.12,26.91,27.14,26.25,25.61,25.6,27.47,26.93,26.92,26.3
2002,26.46,26.15,27.04,27.09,27.17,26.19,25.92,25.12,26.13,27.42,27.79,27.2
2003,26.63,26.4,27.0,27.79,29.96,26.14,24.81,25.28,26.7,27.14,26.76,26.5
2004,26.91,27.38,26.58,28.11,27.1,25.93,26.23,25.44,26.78,27.49,27.6,26.71
2005,26.65,26.74,27.3,27.28,27.72,27.48,26.23,25.83,27.02,27.31,27.4,25.93
2006,26.39,26.76,26.58,26.47,26.64,25.6,24.9,25.11,25.71,27.5,28.98,27.53
2007,27.0,26.58,26.6,26.97,27.51,26.44,25.68,25.49,25.96,27.53,26.75,26.44
2008,26.3,25.8,25.7,26.8,26.3,25.6,24.4,25.7,27.0,27.5,26.3,25.9
2009,26.2,25.7,26.7,27.3,26.8,26.6,25.2,25.4,26.8,27.8,27.9,27.5
2010,26.7,27.2,27.5,27.5,27.6,27.3,26.9,27.2,27.1,27.2,27.4,28.1
2011,26.3,26.5,25.9,26.6,26.8,25.9,26.0,25.6,26.6,27.9,32.2,27.2
2012,26.6,26.7,26.5,27.4,27.1,26.4,25.2,25.6,26.7,28.1,27.6,26.8
2013,26.8,27.0,27.4,27.7,27.3,26.7,26.3,25.9,26.8,28.0,27.0,26.3
2014,26.2,26.5,27.5,27.2,27.7,27.6,26.3,26.4,26.1,28.1,27.6,26.6
2015,26.6,26.5,26.6,27.1,27.1,26.1,25.4,25.9,26.6,28.3,28.4,27.4
2016,28.2,27.0,27.6,28.6,26.9,27.3,27.3,27.0,27.6,27.1,26.2,26.6
2017,26.2,26.1,26.4,26.7,26.9,26.9,25.7,25.8,26.7,27.3,26.0,26.5
2018,26.0,26.1,26.6,27.6,27.1,26.5,25.3,25.3,26.4,27.7,27.3,26.8
